movieid;cast;director;writer;genres
32;Bruce Willis,Madeleine Stowe,Brad Pitt,Christopher Plummer,David Morse;Terry Gilliam;;Sci-Fi,Thriller,Mystery
33;Craig Sheffer,Elizabeth McGovern,Tom Hulce,Ken Pogue,Ron Sauvé;Jean-Jacques Annaud;;Romance,Adventure
34;Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn;Chris Noonan;;Fantasy,Drama,Comedy,Family
35;Emma Thompson,Jonathan Pryce,Steven Waddington,Samuel West,Rufus Sewell;Christopher Hampton;;History,Drama,Romance
36;Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey;Tim Robbins;;Drama
37;Peter Reznick,John McDonough,Avi Hoffman,Matt Malloy,Abby Lewis;Stephen Low;Andrew Gellis;Adventure,History,Drama,Family
38;Kirstie Alley,Steve Guttenberg,Ashley Olsen,Mary-Kate Olsen,Jane Sibbett;Andy Tennant;Deborah Dean Davis;Comedy,Family,Romance
39;Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison;Amy Heckerling;;Drama,Comedy,Romance
40;James Earl Jones,Charles S. Dutton,Jack Robinson,Tsholofelo Wechoemang,Ramalao Makhene;Darrell James Roodt;Ronald Harwood;Drama
41;Ian McKellen,Annette Bening,Jim Broadbent,Kristin Scott Thomas,Adrian Dunbar;Richard Loncraine;Richard Loncraine,Ian McKellen;Drama,War
42;Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson;Albert Hughes,Allen Hughes;;Action,Crime,Drama,History
43;Robert Downey Jr.,Meg Ryan,Sam Neill,David Thewlis,Hugh Grant;Michael Hoffman;Rose Termain,Rupert Walters;Drama,Romance
44;Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson;Paul W.S. Anderson;;Action,Fantasy
45;Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas;Gus Van Sant;;Fantasy,Drama,Comedy,Thriller
46;Winona Ryder,Anne Bancroft,Ellen Burstyn,Kate Nelligan,Jean Simmons;Jocelyn Moorhouse;;Drama,Romance
47;Brad Pitt,Morgan Freeman,Gwyneth Paltrow,John C. McGinley,Kevin Spacey;David Fincher;;Crime,Mystery,Thriller
48;Irene Bedard,Mel Gibson,David Ogden Stiers,John Kassir,Russell Means;Mike Gabriel,Eric Goldberg;;Adventure,Animation,Drama,Family
49;Pascale Bussières,Rachael Crawford,Henry Czerny,Don McKellar;Patricia Rozema;;Drama,Romance
50;Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,Kevin Pollak,Pete Postlethwaite;Bryan Singer;Christopher McQuarrie;Drama,Crime,Thriller
51;Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,Lydie Denier,John O'Leary;Richard W. Munchkin;;Action,Thriller,Drama
52;Woody Allen,Mira Sorvino,Helena Bonham Carter,F. Murray Abraham,Donald Symington;Woody Allen;;Comedy,Romance
53;Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli;Gianni Amelio;;Drama,Foreign
54;Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Bug Hall;Holly Goldberg Sloan;Holly Goldberg Sloan;Action,Adventure,Comedy,Family
55;Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe;Ulu Grosbard;;Drama
56;Johnny Morina,Malcolm McDowell,Maggie Castle,James Rae,Michael Ironside;Robert Tinnell;;
57;Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Claire Danes;Jodie Foster;;Comedy,Drama,Romance
58;Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti;Michael Radford;;Comedy,Drama,Romance
59;Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Kristin Scott Thomas,Ron Burrage;Robert Lepage;Robert Lepage;Thriller,Drama,Mystery
60;Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat;Frank Oz;;Adventure,Family,Fantasy
61;Sally Field,Kiefer Sutherland,Ed Harris,Beverly D'Angelo,Charlayne Woodard;John Schlesinger;Amanda Silver,Rick Jaffa;Drama,Thriller
62;Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy;Stephen Herek;;Drama,Family
63;Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer,Vivica A. Fox;Paris Barclay;;Comedy
64;Sandra Bullock,Denis Leary,Yaphet Kotto,Stephen Dillane,Tracey Cherelle Jones;Bill Bennett;Denis Leary,Mike Armstrong;Comedy,Romance
65;Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Teresa Hill,William Atherton;Jason Bloom;;Comedy
66;Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper;Farhad Mann;;Action,Sci-Fi
67;Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,Joe Grifasi,Geoff Pierson;James Foley;Joseph Stefano;Drama,Family
68;Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel;Josiane Balasko;;Comedy,Romance
69;Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,John Witherspoon;F. Gary Gray;;Comedy,Drama
70;George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu;Robert Rodriguez;;Horror,Action,Thriller,Crime
71;William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Miguel Sandoval;Andrew Sipes;;Action,Thriller,Romance
72;Josh Hamilton,Olivia d'Abo,Carlos Jacott,Eric Stoltz,Chris Eigeman;Noah Baumbach;Noah Baumbach;Comedy,Drama,Romance
73;Jean-Paul Belmondo,Michel Boujenah,Alessandra Martines,Salomé Lelouch,Annie Girardot;Claude Lelouch;Victor Hugo,Claude Lelouch;Drama,History
74;Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin,Brian Tarantina;Michael Goldenberg;Michael Goldenberg;Drama,Romance
75;Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor;Steve Miner;Mark Steven Johnson;Comedy,Family
76;Peter Weller,Roy Dupuis,Jennifer Rubin,Andrew Lauer,Liliana Komorowska;Christian Duguay;;Horror,Sci-Fi
77;;Susanne Ofteringer;;
78;Jack Nicholson,David Morse,Anjelica Huston,Robin Wright,Piper Laurie;Sean Penn;Sean Penn;Drama,Thriller
79;Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,Anne Heche,James Gandolfini;Brian Gibson;;Drama,Thriller
80;Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Anna Borkowska,Mohammad Shahani;Jafar Panahi;Abbas Kiarostami;Family,Drama
81;Andy García,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams;Gary Fleder;;Drama,Crime
82;Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Veerle van Overloop,Esther Vriesendorp;Marleen Gorris;;Drama,Comedy
83;Al Freeman, Jr.,Phylicia Rashād,Paula Kelly,Salli Richardson-Whitfield,Anna Maria Horsford;Tim Reid;;Romance,Drama
84;Victoria Foyt,Viveca Lindfors,Jon Robin Baitz,Savannah Smith Boucher,Roscoe Lee Browne;Henry Jaglom;;
85;Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall;Philip Haas;;Drama,Foreign,Romance
86;Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,Jeremy Sisto;Ridley Scott;;Action,Drama
87;Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett,Graham Sack;Ken Kwapis;;Adventure,Comedy,Family
88;Chris Farley,David Spade,Grant Heslov,Tim Matheson,Gary Busey;Penelope Spheeris;Fred Wolf;Comedy
89;Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia;John Badham;;Crime,Drama,Thriller
90;Jason Patric,Thandie Newton,Larry Drake,Sam Waterston,Eric Mabius;John Duigan;John Ehle;Drama
92;Julia Roberts,John Malkovich,George Cole,Michael Gambon,Glenn Close;Stephen Frears;;Drama,Horror,Thriller,Romance
93;Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon;Wes Craven;;Comedy,Horror,Romance
94;Matt Dillon,Noah Emmerich,Annabeth Gish,Lauren Holly,Timothy Hutton;Ted Demme;;Comedy,Drama,Romance
95;John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,Bob Gunton;John Woo;;Action,Adventure,Drama,Thriller
96;Richard Briers,Joan Collins,Michael Maloney,Nicholas Farrell,Jennifer Saunders;Kenneth Branagh;;Comedy
97;Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo;Mathieu Kassovitz;;Drama
98;Sadie Frost,Jude Law,Sean Pertwee,Fraser James,Sean Bean;Paul W.S. Anderson;Paul W.S. Anderson;Action,Adventure,Drama,Sci-Fi,Thriller
99;Nick Broomfield,Heidi Fleiss,Madam Alex,Ivan Nagy,Corinne Bohrer;Nick Broomfield;;Documentary
100;Al Pacino,John Cusack,Bridget Fonda,Danny Aiello,Martin Landau;Harold Becker;;Drama,Thriller
101;Luke Wilson,Owen Wilson,Lumi Cavazos,Andrew Wilson,Robert Musgrave;Wes Anderson;;Comedy,Crime,Drama
102;Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell,Joan Plowright;Nick Castle;;Comedy,Romance
103;Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald,David Paymer;John Dahl;;Drama,Mystery,Sci-Fi,Thriller
104;Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Carl Weathers;Dennis Dugan;;Comedy
105;Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak,Jim Haynie;Clint Eastwood;;Drama,Romance
106;Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,Elisabeth Trissenaar,Joachim Król;Doris Dörrie;;Drama,Comedy,Family
107;Tim Curry,Kevin Bishop,Jennifer Saunders,Billy Connolly,Dave Goelz;Brian Henson;;Action,Comedy,Music,Family,Adventure
108;Christy Turlington,Azzedine Alaïa,Giorgio Armani,Nadja Auermann,Sandra Bernhard;Robert Leacock;;Documentary
109;Raymond J. Barry;;;
110;Mel Gibson,Catherine McCormack,Sophie Marceau,Patrick McGoohan,Angus Macfadyen;Mel Gibson;;Action,Drama,History,War
111;Robert De Niro,Cybill Shepherd,Harvey Keitel,Jodie Foster,Peter Boyle;Martin Scorsese;Paul Schrader;Crime,Drama
112;Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,Marc Akerstream;Stanley Tong;Edward Tang,Fibe Ma;Crime,Action,Comedy,Thriller
113;Meryl Streep,Liam Neeson,Edward Furlong,Alfred Molina,Daniel von Bargen;Barbet Schroeder;Ted Tally;Drama,Thriller
114;Helena Bonham Carter,Clive Russell,Craig Olejnik,Kate Nelligan,Kenneth Welsh;Mort Ransen;;Drama
115;Michel Serrault,Eddy Mitchell,Sabine Azéma,Carmen Maura,François Morel;Étienne Chatiliez;;Comedy
116;Kenneth Branagh,Glenn Close;Jon Blair;;Documentary,Drama,Foreign
117;Tobias Arnold,Ruth Sheen,Roger Lloyd-Pack,Hugh O'Conor,Norman Caro;Benjamin Ross;;Drama,Crime
118;Sarah Jessica Parker,Elle Macpherson,Ben Stiller,Scarlett Johansson,Eric Schaeffer;Eric Schaeffer;;Comedy,Romance
119;Andy García,Alan Arkin,Rachel Ticotin,Joe Pantoliano,Ally Walker;Andrew Davis;;Comedy,Drama
120;Halle Berry,Jim Belushi,Casey Affleck,Eliza Dushku,Kevin Tighe;Charles T. Kanganis;Barry Morrow;Action,Adventure,Comedy,Drama,Family
121;Henry Czerny,Johnny Morina,Brian Dooley,Philip Dinn;John N. Smith;;Drama
122;Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier,Grace Jones;Reginald Hudlin;;Drama,Comedy,Romance
123;Brigitte Lin,Tony Leung Chiu-Wai,Faye Wong,Takeshi Kaneshiro,Valerie Chow;Wong Kar-wai;;Drama,Comedy,Romance
124;Sergio Castellitto,Antonella Attili,Tiziana Lodato,Franco Scaldati;Giuseppe Tornatore;Giuseppe Tornatore;Drama,Romance
125;Ben Stiller,Patricia Arquette,Téa Leoni,Mary Tyler Moore,Alan Alda;David O. Russell;David O. Russell;Comedy,Romance
126;Jason James Richter,Melody Kay,Kevin McNulty,Tracey Ellis,Jack Black;Peter MacDonald;;Family,Fantasy
127;Amel Hedhili,Najia Ouerghi,Hend Sabri,Fatima Ben Saïdane,Zahira Ben Ammar;Moufida Tlatli;Moufida Tlatli,Nouri Bouzid;Drama
128;Maggie Cogan;Michel Negroponte;Michel Negroponte;
129;Josh Charles,Anne Heche,John Goodman,Christine Lahti,Christine Ebersole;Bryan Gordon;Bryan Gordon;Comedy,Romance
130;Miranda Rhyne,Charlotte Eve Blythe,Anna Levine,John Ventimiglia,Io Tillett Wright;Rebecca Miller;Rebecca Miller;Comedy,Drama
131;Matt Dillon,Corban Walker,Gabriel Byrne,Anne Parillaud,Niall Toibin;Michael Lindsay-Hogg;;Drama,Romance,War
132;David Caruso,Linda Fiorentino,Chazz Palminteri,Michael Biehn,Richard Crenna;William Friedkin;;Action,Thriller,Mystery,Romance
133;Luisito Marti,Alfonso Zayas,Caridad Ravelo,Raúl Carbonell hijo;Ángel Muñiz;Ángel Muñiz;Drama,Comedy,Romance,Foreign
134;Lloyd Dunn,Chris Grigg,Mark Hosler,Don Joyce,Doug Kahn;Craig Baldwin;;Music,Documentary
135;Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton,Bruce Dern;David S. Ward;;Comedy
136;Jean Seberg,Mary Beth Hurt;Mark Rappaport;Mark Rappaport;Documentary
137;Dirk Shafer,Mary Stein,Claudette Sutherland,Cal Bartlett,Vivian Paxton;Dirk Shafer;;Comedy
138;Jacob Tierney,Drake Bell,Gena Rowlands,Diana Scarwid,Denis Leary;Terence Davies;Terence Davies;Drama
139;;Sandip Ray;;
140;Robert Redford,Michelle Pfeiffer,Stockard Channing,Joe Mantegna,Kate Nelligan;Jon Avnet;;Drama,Romance
141;Robin Williams,Gene Hackman,Nathan Lane,Dianne Wiest,Grant Heslov;Mike Nichols;;Comedy
142;;;;Drama
143;Martin Sheen,Michael York,Morgan Fairchild,Paul Guilfoyle,George Coe;Jakov Sedlar;Ivan Aralica,Paul Gronseth,Barry Morrow;Drama
144;Shari Albert,Maxine Bahns,Catharine Bolz,Connie Britton,Edward Burns;Edward Burns;;Comedy,Drama,Romance
145;Will Smith,Martin Lawrence,Téa Leoni,Tchéky Karyo,Joe Pantoliano;Michael Bay;;Adventure,Drama,Action,Comedy,Thriller,Crime
146;Stephen Lang,Ryan Slater,Yi Ding,Brian Wagner,Isabella Hofmann;Christopher Cain;;Action,Adventure,Drama,Family
147;Leonardo DiCaprio,Lorraine Bracco,James Madio,Mark Wahlberg,Bruno Kirby;Scott Kalvert;;Drama,Crime
148;Alan Rickman,Hugh Grant,Georgina Cates,Rita Tushingham,Alun Armstrong;Mike Newell;Charles Wood;Drama,Comedy,Romance,Foreign
149;Isabelle Huppert,Martin Donovan,Elina Löwensohn,Damian Young,Chuck Montgomery;Hal Hartley;Hal Hartley;Crime,Comedy,Drama,Thriller
150;Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris;Ron Howard;;Drama
151;Liam Neeson,Jessica Lange,John Hurt,Tim Roth,Eric Stoltz;Michael Caton-Jones;;Adventure
152;Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Michael Imperioli;Abel Ferrara;Nicholas St. John;Drama,Horror
153;Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell;Joel Schumacher;;Sci-Fi,Fantasy,Action,Crime
154;Catherine Deneuve,Michel Piccoli,Jean Sorel,Geneviève Page,Pierre Clémenti;Luis Buñuel;;Drama,Romance
155;Patricia Arquette,Frances McDormand,U Aung Ko,Spalding Gray,Tiara Jacquelina;John Boorman;;Drama,Thriller
156;Harvey Keitel,Lou Reed,Michael J. Fox,Roseanne Barr,Lily Tomlin;Paul Auster,Wayne Wang;;Comedy
157;John Candy,Alan Alda,Rhea Perlman,Kevin Pollak,Rip Torn;Michael Moore;;Action,Comedy
158;Christina Ricci,Bill Pullman,Cathy Moriarty,Eric Idle,Joe Nipote;Brad Silberling;;Fantasy,Comedy,Family
159;Harvey Keitel,John Turturro,Delroy Lindo,Mekhi Phifer,Isaiah Washington;Spike Lee;;Mystery,Crime,Drama
160;Laura Linney,Dylan Walsh,Ernie Hudson,Tim Curry,Grant Heslov;Frank Marshall;;Action,Adventure,Drama,Mystery,Sci-Fi,Thriller
161;Denzel Washington,Gene Hackman,Matt Craven,George Dzundza,Viggo Mortensen;Tony Scott;;Action,Thriller,Drama
162;Robert Crumb,Aline Kominsky,Charles Crumb,Maxon Crumb,Robert Hughes;Terry Zwigoff;Terry Zwigoff;Documentary
163;Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,Steve Buscemi;Robert Rodriguez;;Thriller,Action,Crime
164;Denzel Washington,Tom Sizemore,Jennifer Beals,Don Cheadle,Maury Chaykin;Carl Franklin;;Drama,Mystery,Thriller
165;Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,Colleen Camp;John McTiernan;;Action,Thriller
166;Rose McGowan,James Duval,Johnathon Schaech,Cress Williams,Dustin Nguyen;Gregg Araki;Gregg Araki;Action,Comedy,Crime,Drama
167;Embeth Davidtz,Tom Bell,Gemma Jones,James Purefoy,Ben Chaplin;Christopher Menaul;;Drama,Crime
168;Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham;Jerry Zucker;;Action,Adventure,Drama,Romance
169;Jason James Richter,Michael Madsen,Jayne Atkinson,August Schellenberg,Mary Kate Schellhardt;Dwight H. Little;;Adventure,Drama,Family
170;Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Renoly Santiago;Iain Softley;;Action,Crime,Thriller,Drama
171;Steven Weber,Patrick Stewart,Michael T. Weiss,Sigourney Weaver,Christine Baranski;Christopher Ashley;;Comedy,Drama,Romance
172;Keanu Reeves,Dina Meyer,Takeshi Kitano,Ice-T,Dolph Lundgren;Robert Longo;William Gibson;Adventure,Action,Drama,Sci-Fi,Thriller
173;Sylvester Stallone,Diane Lane,Armand Assante,Rob Schneider,Jürgen Prochnow;Danny Cannon;;Sci-Fi
174;Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray,Abe Vigoda;John Fortenberry;;Action,Comedy,Drama,Thriller
175;Leo Fitzpatrick,Rosario Dawson,Chloë Sevigny,Justin Pierce,Sajan Bhagat;Larry Clark;;Drama,Crime
176;Steve Buscemi,Catherine Keener,Dermot Mulroney,James Le Gros,Peter Dinklage;Tom DiCillo;;Drama,Comedy
177;Scott Bakula,Kevin J. O'Connor,Famke Janssen,Joel Swetow,Daniel von Bargen;Clive Barker;Clive Barker;Mystery,Horror,Thriller
178;Thomas Gibson,Ruth Marshall,Cameron Bancroft,Mia Kirshner,Joanne Vannicola;Denys Arcand;;Comedy,Drama
179;Chris O'Donnell,Drew Barrymore,Matthew Lillard,Richard Chaim,Robert Nadir;Antonia Bird;Paula Milne;Drama,Family,Romance
180;Jason Lee,Jeremy London,Shannen Doherty,Claire Forlani,Ben Affleck;Kevin Smith;Kevin Smith;Romance,Comedy
181;Jason David Frank,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Amy Jo Johnson;Bryan Spicer;;Action,Adventure,Sci-Fi,Family,Fantasy
182;Elizabeth Perkins,Gwyneth Paltrow,Kathleen Turner,Whoopi Goldberg,Jon Bon Jovi;David Anspaugh;;Comedy,Drama,Romance
183;Marina Sudina,Fay Ripley,Evan Richards,Oleg Jankowski,Igor Volkov;Anthony Waller;;Thriller,Foreign
184;Elina Löwensohn,Peter Fonda,David Lynch,Suzy Amis,Jared Harris;Michael Almereyda;;Horror,Thriller
185;Sandra Bullock,Jeremy Northam,Dennis Miller,Wendy Gazelle,Ken Howard;Irwin Winkler;;Crime,Drama,Mystery,Thriller,Action
186;Hugh Grant,Julianne Moore,Tom Arnold,Joan Cusack,Jeff Goldblum;Chris Columbus;;Comedy
187;Parker Posey,Liev Schreiber,Anthony DeSando,Guillermo Díaz,Donna Mitchell;Daisy von Scherler Mayer;;Comedy
188;Christopher Walken,Elias Koteas,Virginia Madsen,Eric Stoltz,Adam Goldberg;Gregory Widen;;Fantasy,Horror,Thriller
189;Mia Farrow,Tony Goldwyn,Scott Glenn,Mary-Louise Parker;Norman René;Craig Lucas;Fantasy,Comedy,Drama
190;Julianne Moore,Xander Berkeley,Dean Norris,Peter Friedman,Kate McGregor-Stewart;Todd Haynes;Todd Haynes;Drama
191;Demi Moore,Gary Oldman,Robert Duvall,Robert Prosky,Edward Hardwicke;Roland Joffé;;Drama,History,Romance
192;Kurtis Blow,Sean Combs,Snoop Dogg,Dr. Dre,Warren G.;;;Documentary
193;Elizabeth Berkley,Gina Gershon,Gina Ravera,Kyle MacLachlan,Glenn Plummer;Paul Verhoeven;;Drama
194;Harvey Keitel,William Hurt,Giancarlo Esposito,José Zúñiga,Stephen Gevedon;Wayne Wang,Paul Auster;;Comedy,Drama
195;Julia Roberts,Dennis Quaid,Robert Duvall,Gena Rowlands,Kyra Sedgwick;Lasse Hallström;Callie Khouri;Comedy
196;Natasha Henstridge,Ben Kingsley,Michael Madsen,Alfred Molina,Forest Whitaker;Roger Donaldson;;Sci-Fi,Horror,Action
197;Robert Duvall,Aidan Quinn,Frances Fisher,Brian Dennehy,Lexi Randall;James Keach;;Drama
198;Ralph Fiennes,Angela Bassett,Tom Sizemore,Juliette Lewis,Vincent D'Onofrio;Kathryn Bigelow;;Crime,Drama,Sci-Fi,Thriller
199;Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Mireille Perrey,Marc Michel;Jacques Demy;;Drama,Romance
200;Daryl Hannah,Keith Carradine,Moira Kelly,Vincent Spano,Julia Devin;Wesley Strick;Michael Auerbach;Thriller
201;Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,David Marshall Grant,Jay O. Sanders;Martha Coolidge;;Drama,Fantasy
202;Leonardo DiCaprio,David Thewlis,Romane Bohringer,Dominique Blanc,Nita Klein;Agnieszka Holland;;Drama,Romance
203;Patrick Swayze,Wesley Snipes,John Leguizamo,Stockard Channing,Jason London;Beeban Kidron;;Comedy
204;Steven Seagal,Eric Bogosian,Everett McGill,Katherine Heigl,Morris Chestnut;Geoff Murphy;;Action,Thriller
205;Andie MacDowell,John Turturro,Michael Richards,Nathan Watt,Maury Chaykin;Diane Keaton;;Drama,Comedy,Family
206;Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,John Galliano,Kate Moss;Douglas Keeve;;Documentary
207;Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Angélica Aragón,Evangelina Elizondo;Alfonso Aráu;;Drama,Romance
208;Kevin Costner,Chaim Girafi,Rick Aviles,R. D. Call,Zitto Kazann;Kevin Reynolds;;Adventure,Action
209;John Travolta,Harry Belafonte,Kelly Lynch,Margaret Avery,Tom Bower;Desmond Nakano;Desmond Nakano;Drama
210;Jeff Bridges,Ellen Barkin,John Hurt,Diane Lane,Keith Carradine;Walter Hill;;Action,Western
